title,short_title,link,saleprice,oldprice,ratings,percentoff
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/Amazon-Basics-Micro-Adapter-Classes/dp/B0CGCY57SD/ref=sr_1_8?keywords=sd+card&qid=1701351101&sr=8-8,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
"Amazon Basics 64 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",Amazon Basics 64 GB Micro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjU3NzE1MDI2NjE2Njk4OjE3MDEzNTExMDE6c3BfbXRmOjMwMDA3MzA0NDg0MTQzMjo6MDo6&url=%2FAmazon-Basics-Micro-Adapter-Classes%2Fdp%2FB0CGCY57SD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dsd%2Bcard%26qid%3D1701351101%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,399.0,799.0,"45,650",50.06257822277848
